species,island,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,sex
0,2,38.7437583415437,18.16181266133569,185.6350584012614,4373.49243833461,0
1,0,46.8086954451636,15.743026859963853,202.94622286037853,4487.96807469524,1
1,0,40.2995563942626,15.792429976812942,226.70978016408947,4923.888597370306,1
2,2,44.0208994901779,14.5242292161135,205.34992533618401,4509.236340050895,0
2,2,52.737539848246,16.846051796713294,231.0,5037.567449229408,0
0,2,39.5674200018296,14.444345304182,183.0525809163561,4052.206273718298,0
0,1,44.7278348187902,17.864233224661472,175.82662309731035,3640.952211616077,1
2,1,48.9052764272691,16.218997155749296,178.9214037100061,3025.877238218359,0
0,0,46.0414761761778,19.057110229052924,176.2543495322542,3446.0887919668885,0
1,2,51.3457628716704,14.514607205308842,221.402361578025,5922.637109441352,0
2,1,41.9066930853639,14.432365091978037,176.71172407688135,3651.4006251261176,0
2,1,52.3923215162976,15.723024986126347,186.89305627326956,4163.112140843568,0
1,0,53.6454687991105,14.80239672961768,221.42165763317138,5695.313489157246,0
1,0,42.4321468006823,16.379498013356343,186.6718696387819,3154.686611290097,0
0,1,37.3099215160119,20.34924957875668,175.16609588108085,3051.300401319378,0
0,0,47.1275853541283,19.03772948961909,213.7892864119649,3987.8873116488658,1
1,1,42.9703605600185,17.07574276561459,210.04521296351476,4241.540989516086,0
2,0,50.5210588218837,14.094282836057026,213.9088024601009,4043.0590695653273,0
1,0,43.6365578378657,17.207510839362925,198.3951743685369,4452.786258198359,0
1,0,50.1663274469523,19.471922101187076,189.99178163703766,5087.17331060423,0
2,0,45.0940173862868,16.419338276425574,213.4877837979071,3747.2745768900068,0
0,1,40.5238203846917,17.831046866354242,202.65929767826702,4325.368057266327,1
0,2,42.8618602792563,16.21344185651527,212.59238707432212,4133.259249001797,1
0,1,45.1929731316946,17.659827964304103,195.1630840949244,4064.692528206506,1
2,1,52.0757591752364,16.216814491288105,222.69820518429898,4587.195502440455,1
2,0,51.3805399596698,17.334058782525602,200.02127429918295,3779.936153646081,1
0,0,38.8095288884019,18.84231465650761,197.1128852791022,4181.221399423699,0
2,2,33.5989606252905,19.3611164882147,189.10193738589197,4251.529628461614,1
1,0,42.567114058926,16.05110253311801,196.11241034323209,4366.795671799911,1
1,0,42.567114058926,16.05110253311801,196.11241034323209,4366.795671799911,1
2,2,34.7914229709568,16.47858548089596,193.00057793765694,4150.342679446731,0
2,1,42.4570517615372,16.772221605359515,219.32789738823743,5617.404350041232,1
1,0,35.8939410365651,15.458935318106734,176.75519454658064,3383.084754314347,0
0,0,39.7268379618724,18.46943118400747,206.5542429694674,5425.1490381175345,1
2,0,43.7014505178764,15.466338914778504,220.15888160262165,4445.069834050796,1
1,0,41.0071308201917,19.319558460580538,187.18416142381466,4100.783534702671,1
0,2,45.3810067975413,14.411806125013841,218.25407282994095,5217.058691894843,1
1,0,45.3695327580465,15.784362044086443,197.4454652777248,3896.2587215282306,0
2,1,46.8662799815901,15.023186275162356,186.7042773783553,3540.676963340373,0
0,1,42.6822396219189,19.59853138251121,175.7371488294837,2999.4246721381332,0
2,0,46.9442560843786,14.092219895167089,228.5571348788696,4320.400074138076,0
1,0,53.6454687991105,14.80239672961768,221.42165763317138,5695.313489157246,0
2,0,48.5984677358363,17.930596335861726,217.84476882175943,5874.025469495034,1
2,0,51.0521632133211,14.554961706823919,228.02023533021153,5969.361935429585,0
2,1,52.6714258369125,15.660919503388685,221.62526253492143,5967.650307248097,1
2,0,40.6441857615766,13.913941562196845,204.48711024566802,4027.46842230568,0
2,0,39.5209332679813,13.901258378188638,182.85012394775495,4209.812985916658,1
1,0,40.770616479131,18.392404708348508,207.92410712903546,5538.837427866003,1
2,1,54.2446556446623,15.90116225580619,228.13132043622502,5767.874141560922,1
0,1,40.4327428346015,20.02392133636905,194.77990588734946,3529.118346788282,1
2,1,42.9168172158944,15.840285317964293,204.10252801677828,3489.680636857112,0
0,2,44.8753044846747,20.328588742668213,201.2693950690575,4828.061223108232,1
0,2,33.7241756822366,18.69991753116054,185.0120290993465,4119.622768682809,1
2,0,42.9936646623841,16.240990884186644,228.81259788024212,5543.336702080969,0
2,0,50.913390522203,15.343912373448386,217.11614687858818,6032.0373301446125,1
0,0,33.5811942326716,19.428571256618188,178.15658449576685,3570.2758408993836,0
1,1,46.7485974434083,20.257922485389027,193.760949762875,4205.8801952161175,1
2,0,43.6623835361513,17.414858146396185,204.834298217735,4133.735583034667,0
2,2,48.7959807726421,13.808454922204998,202.26426360418415,6047.994827565417,1
0,2,39.9719591765168,14.644328279816692,219.33843758433326,4296.26587009174,1
1,1,42.7265192336818,16.406735409624996,185.34674634238348,3542.686276434092,0
2,0,35.3450735450608,15.407713527604272,183.986696152002,3603.3530149307176,0
1,0,45.3695327580465,15.784362044086443,197.4454652777248,3896.2587215282306,0
2,1,53.4966274976155,17.00716529495981,218.16039271977255,5009.450052656024,0
0,1,35.5252522539023,18.363004845963815,190.11403404118585,3199.982289045723,0
0,0,35.0307947187524,20.274614024401643,172.66806394659505,3646.965160791334,1
0,0,32.7616316520191,19.29360827202567,173.9465315426229,3827.2322078930188,1
1,1,42.7265192336818,16.406735409624996,185.34674634238348,3542.686276434092,0
0,0,36.2472531490515,19.806338804389405,175.70587565070667,3159.3782747863415,1
2,1,40.3836801595672,15.730779076449473,203.5800385285159,5208.339144733315,1
0,1,39.1952824963221,16.393349067108787,214.8956755930871,4020.3634983040765,1
1,0,36.095796641726,16.80450262846102,174.74304867318307,2926.379911199842,0
1,0,40.2995563942626,15.792429976812942,226.70978016408947,4923.888597370306,1
1,0,35.8939410365651,15.458935318106734,176.75519454658064,3383.084754314347,0
0,0,39.9805253112534,18.251806608959193,192.17225630360105,3205.0898237544234,1
1,0,37.7749065399108,18.554608906442887,173.74683777768695,3226.9887910289876,1
2,0,40.0743821609184,16.873882065799876,176.01148138666417,3462.3050302471256,0
0,1,40.4436282679724,19.547011606012184,175.12043255252672,3275.923644153415,1
1,1,47.5378020383076,19.954098142501504,184.75407022863078,4030.504277969039,1
1,0,54.368261830654,16.27099656907783,226.6608333851338,5669.017117870471,0
2,2,44.8285861806858,16.82180730859413,225.7532133935979,5398.66804556007,1
2,0,49.3973489603315,14.853760511176095,225.88088358385266,5496.850786369025,1
0,0,36.7431796090696,17.828905416737822,179.95598100709367,4545.241168436336,1
0,1,38.1694397561498,17.52624004397531,181.77502965219068,3680.549871241078,0
1,0,49.6924818785722,16.966635768074994,199.45150177123497,3794.4317876463565,0
1,0,40.5160271670268,13.987817782227802,208.52996657152732,5595.118915303674,1
2,2,39.3735523819092,14.720652235425101,198.86159944823595,4941.359342246965,0
2,0,53.9264817558715,18.825787132093495,229.40564001090232,5152.899275252967,1
0,0,46.1736677787622,18.487234744900192,215.38424474025987,5215.637711517476,1
0,1,41.069951619442,16.305827506934712,174.17144386408765,3572.1209863986023,0
1,1,42.9703605600185,17.07574276561459,210.04521296351476,4241.540989516086,0
0,0,41.0140170348092,16.52597998093392,176.879505623112,3586.3685556564474,0
1,0,50.1663274469523,19.471922101187076,189.99178163703766,5087.17331060423,0
1,0,40.5160271670268,13.987817782227802,208.52996657152732,5595.118915303674,1
2,0,49.7498591029315,15.37644744084579,201.06497938599654,4015.4119929879307,1
2,1,46.9054869599862,17.721590129793285,188.121647399236,4680.268302102228,1
2,0,40.557739873729,14.576850947404878,189.29633567227341,3049.4259292694787,0
2,2,46.7222186038575,14.219515347686576,227.93209226018828,5275.465164192502,0
0,2,33.2163728612062,15.861776803654621,174.68804606612656,3231.694956382562,0
0,0,39.5382993001586,17.644142379968308,181.27244290172248,3642.3669156966635,0
1,1,42.7265192336818,16.406735409624996,185.34674634238348,3542.686276434092,0
0,1,47.036164362231,21.003935840347616,176.58437556413585,3758.9684316789076,1
0,0,36.4421049099956,17.34816607261749,181.5528141256846,3184.692867254021,0
1,0,41.0071308201917,19.319558460580538,187.18416142381466,4100.783534702671,1
0,1,42.8029409344308,20.526281443388978,174.37377149375956,3429.0664978698014,1
1,1,51.0051238493002,16.56609066245495,215.1644320382469,4674.726938656079,1
1,0,49.6924818785722,16.966635768074994,199.45150177123497,3794.4317876463565,0
1,1,50.5363569540574,19.167496181600303,225.85690640360278,5257.189082036405,0
2,0,41.9137633915814,13.767960669114558,220.5352319817316,6040.305639594515,0
2,0,52.7416608968565,14.320512846443366,211.14459261881814,5601.742877888092,1
0,0,41.721774819246,16.854552262507408,192.0817701010664,4127.898557073862,1
1,0,42.972587233106,17.87025158381413,203.85469013500781,4349.510725467358,1
1,1,50.5363569540574,19.167496181600303,225.85690640360278,5257.189082036405,0
2,2,47.625859330675,19.00218250751769,220.3160888216495,5223.490864846294,1
2,0,51.6516588455009,14.312797976836283,210.8646415087853,5705.870365804923,1
2,2,49.0720981970374,16.40321471453538,224.6894279782465,5772.841493706572,1
0,2,33.8058593423634,21.189938608186324,173.05359280405824,3453.2804628238973,1
2,0,42.0341284618284,15.408934986678052,198.99331046092888,4811.443540899549,0
1,0,53.6454687991105,14.80239672961768,221.42165763317138,5695.313489157246,0
0,1,51.1576352373866,18.372823325008625,184.48256353286644,3106.49631098185,0
2,0,49.1504773230323,15.307085059844674,228.15022381209542,5065.27303844935,0
2,0,44.6894263439687,14.982990479997085,213.4493230251302,4665.853314416865,1
1,0,37.7749065399108,18.554608906442887,173.74683777768695,3226.9887910289876,1
1,1,42.9703605600185,17.07574276561459,210.04521296351476,4241.540989516086,0
1,0,54.368261830654,16.27099656907783,226.6608333851338,5669.017117870471,0
1,0,42.567114058926,16.05110253311801,196.11241034323209,4366.795671799911,1
2,1,43.825776075028,14.226852848179165,198.86913565279747,4165.3266790239895,1
0,1,43.5464967723886,17.92031668000646,185.93667584040102,3607.8526832340553,1
1,0,38.021260964098,15.248775154541338,176.44438504674562,4201.442201038235,1
2,0,45.3701023941122,14.47869724517664,205.27019858921585,4410.433305873221,0
2,1,52.6714258369125,15.660919503388685,221.62526253492143,5967.650307248097,1
2,0,42.8193978208118,16.887904516351803,227.76616059814083,4334.108479422235,1
1,1,43.1386191967251,16.867590286555117,189.86761192987382,3945.048706365048,0
1,2,42.7681938963709,19.432346519204984,225.67969843664127,5673.707011672379,1
1,1,46.8535463351236,17.5210203386573,214.63454105340114,5451.534983555328,1
2,2,46.268468347141,14.017281534503182,210.9192803050843,5553.814384687228,0
1,0,41.0071308201917,19.319558460580538,187.18416142381466,4100.783534702671,1
1,0,40.5160271670268,13.987817782227802,208.52996657152732,5595.118915303674,1
0,0,33.1400785612814,20.012869371681944,174.91950572523243,3555.676092763445,0
0,0,40.6061136616681,14.97579847657017,179.98829222859547,3661.30824068044,0
0,1,37.7864866767451,15.47027266402889,186.72532592202745,3594.7266528181935,0
1,0,40.2995563942626,15.792429976812942,226.70978016408947,4923.888597370306,1
2,0,42.3748583205198,15.622102334588584,193.88388863517358,4094.168432999325,0
1,1,43.7335249764388,18.71272935748784,205.8014621066103,5136.422217575349,1
1,2,40.5584319874756,13.534253810747614,216.67899466365466,4834.020923130141,1
1,0,46.8086954451636,15.743026859963853,202.94622286037853,4487.96807469524,1
0,2,34.847718563483,15.84105173822678,179.04171210173155,3195.8700357881116,0
1,0,42.972587233106,17.87025158381413,203.85469013500781,4349.510725467358,1
0,1,41.7445905772224,14.968173914015592,175.92966414897134,3237.248967195194,0
2,1,48.7364423423818,13.635598634399482,220.30720557827524,4825.272605656546,0
1,1,43.1386191967251,16.867590286555117,189.86761192987382,3945.048706365048,0
1,0,40.770616479131,18.392404708348508,207.92410712903546,5538.837427866003,1
2,0,57.266865397054,15.27953089491298,220.74616917681104,5773.334816046818,1
0,1,41.0389317986734,17.40115000366805,178.7243511273202,3352.8043036363406,1
0,0,38.6018823242192,15.859010709934086,198.88595388592958,4271.413369437025,0
0,0,47.9574314032114,18.74937195837156,193.6650485131833,4479.737496799757,1
2,1,45.4670562457924,17.54127213393865,221.0750929113434,4462.945538215839,0
1,0,49.6924818785722,16.966635768074994,199.45150177123497,3794.4317876463565,0
0,1,51.2048870133971,19.280081717942423,193.57052237070755,3762.793413884956,1
0,0,35.7326679674252,20.20967602727086,182.66334681240346,3281.684161495785,0
1,1,42.7265192336818,16.406735409624996,185.34674634238348,3542.686276434092,0
0,0,39.3164548474317,20.357435310627544,175.87147246001445,3260.8270336581104,0
0,0,38.6084316180587,19.70854751710859,176.84422642350546,3977.6708853392474,0
0,0,49.9221977402662,16.863583194929934,214.5730562524489,4594.0857471968975,0
